statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
입장거봉포도(서울) 휴게소,ME178010,01,06,충청남도 천안시 서북구 입장면 연곡길 407,null,null,24시간 이용가능,36.9427836,127.1943661,ME,환경부,환경부,1661-9408,2,20250515161428,20250515160115,20250515161427,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,충청남도
입장거봉포도(서울) 휴게소,ME178010,02,06,충청남도 천안시 서북구 입장면 연곡길 407,null,null,24시간 이용가능,36.9427836,127.1943661,ME,환경부,환경부,1661-9408,2,20250515161254,20250515141741,20250515142936,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,충청남도
천안삼거리(서울) 휴게소,ME178011,01,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,null,null,24시간 이용가능,36.7882107,127.1735101,ME,환경부,환경부,1661-9408,3,20250515161228,20250515120548,20250515124444,20250515155634,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,충청남도
천안삼거리(서울) 휴게소,ME178011,02,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,null,null,24시간 이용가능,36.7882107,127.1735101,ME,환경부,환경부,1661-9408,5,20250515161510,20250515153325,20250515154135,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,충청남도
천안삼거리(서울) 휴게소,ME178011,03,06,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,null,null,24시간 이용가능,36.7882107,127.1735101,ME,환경부,환경부,1661-9408,2,20250515161345,20250515141918,20250515143728,,,50,단독,44,44130,C0,C001,Y,,N,,N,,N,2017,충청남도
대천(목포) 휴게소,ME178027,01,06,충청남도 보령시 주교면 서해안고속도로 199 (주교리),null,null,24시간 이용가능,36.3725548,126.556007,ME,환경부,환경부,1661-9408,3,20250515161535,20250514134711,20250514141215,20250515154528,,50,단독,44,44180,C0,C001,Y,,N,,N,,N,2017,충청남도
대천(서울) 휴게소,ME178028,01,06,충청남도 보령시 주교면 서해안고속도로 200 (주교리),null,null,24시간 이용가능,36.3737327,126.557557,ME,환경부,환경부,1661-9408,2,20250515161157,20250506181921,20250506190225,,,50,단독,44,44180,C0,C001,Y,,N,,N,,N,2017,충청남도
서천(서울) 휴게소,ME178031,01,06,충청남도 서천군 비인면 서해안고속도로 168 (성산리),null,null,24시간 이용가능,36.1320831,126.6275272,ME,환경부,환경부,1661-9408,2,20250515161408,20250515074619,20250515082713,,,50,단독,44,44770,C0,C001,Y,,N,,N,,N,2017,충청남도
서천(서울) 휴게소,ME178031,02,06,충청남도 서천군 비인면 서해안고속도로 168 (성산리),null,null,24시간 이용가능,36.1320831,126.6275272,ME,환경부,환경부,1661-9408,2,20250515161154,20250514112220,20250514112420,,,50,단독,44,44770,C0,C001,Y,,N,,N,,N,2017,충청남도
홍성(목포) 휴게소,ME178032,01,06,충청남도 홍성군 은하면 서해안고속도로 221 (금국리),null,null,24시간 이용가능,36.5520256,126.579626,ME,환경부,환경부,1661-9408,2,20250515161518,20250512144350,20250512152959,,,50,단독,44,44800,C0,C001,Y,,N,,N,,N,2017,충청남도
벌곡(논산) 휴게소,ME178042,01,06,충청남도 논산시 호남지선고속도로 25,null,null,24시간 이용가능,36.2175076,127.2740754,ME,환경부,환경부,1661-9408,3,20250515161318,20250515132613,20250515140614,20250515160623,,50,단독,44,44230,C0,C001,Y,,N,,N,,N,2017,충청남도
금산인삼랜드(대전) 휴게소,ME178055,01,06,충청남도 금산군 군북면 대암길 34-30 (외부리),null,null,24시간 이용가능,36.1550665,127.4964759,ME,환경부,환경부,1661-9408,2,20250515161243,20250514202954,20250514210914,,,50,단독,44,44710,C0,C001,Y,,N,,N,,N,2017,충청남도
공주(당진) 휴게소,ME178105,01,06,충청남도 공주시 의당면 당진영덕고속도로 71 (청룡리),null,null,24시간 이용가능,36.4985499,127.1668661,ME,환경부,환경부,1661-9408,2,20250515161339,20250515101417,20250515104117,,,50,단독,44,44150,C0,C001,Y,,N,,N,,N,2017,충청남도
공주(대전) 휴게소,ME178106,01,06,충청남도 공주시 의당면 당진영덕고속도로 72 (송선동),null,null,24시간 이용가능,36.4968854,127.1650857,ME,환경부,환경부,1661-9408,2,20250515161449,20250515153251,20250515155237,,,50,단독,44,44150,C0,C001,Y,,N,,N,,N,2017,충청남도
예산(당진) 휴게소,ME178107,01,06,충청남도 예산군 신양면 당진영덕고속도로 33 (서계양리),null,null,24시간 이용가능,36.6182862,126.8471263,ME,환경부,환경부,1661-9408,2,20250515161524,20250515104317,20250515111658,,,50,단독,44,44810,C0,C001,Y,,N,,N,,N,2017,충청남도
예산(대전) 휴게소,ME178108,01,06,충청남도 예산군 신양면 당진영덕고속도로 34 (서계양리),null,null,24시간 이용가능,36.6241758,126.8395229,ME,환경부,환경부,1661-9408,2,20250515161217,20250515121755,20250515130402,,,50,단독,44,44810,C0,C001,Y,,N,,N,,N,2017,충청남도
부여백제(공주) 휴게소,ME178126,01,06,충청남도 부여군 내산면 서천공주고속도로 26 (율암리),null,null,24시간 이용가능,36.2595399,126.8007516,ME,환경부,환경부,1661-9408,3,20250515161255,20250515151734,20250515154934,20250515160754,,50,단독,44,44760,C0,C001,Y,,N,,N,,N,2017,충청남도
부여백제(서천) 휴게소,ME178127,01,06,충청남도 부여군 내산면 서천공주고속도로 25 (율암리),null,null,24시간 이용가능,36.2570854,126.7961141,ME,환경부,환경부,1661-9408,3,20250515161524,20250515145144,20250515153450,20250515154015,,50,단독,44,44760,C0,C001,Y,,N,,N,,N,2017,충청남도
롯데마트 서산점,ME178151,01,06,충청남도 서산시 충의로 27 (예천동),null,null,24시간 이용가능,36.7723565,126.4397316,ME,환경부,환경부,1661-9408,2,20250515161128,20250507172714,20250507180600,,,50,단독,44,44210,E0,E001,Y,,N,,N,,N,2017,충청남도
GS장항솔바람점,ME181422,01,06,충청남도 서천군 장항읍 송림리 755-12,null,null,24시간 이용가능,36.0244568,126.6674793,ME,환경부,환경부,1661-9408,2,20250515161532,20250514175355,20250514183525,,,50,단독,44,44770,E0,E007,Y,,N,,N,,N,2018,충청남도
태안해안국립공원 삼봉주차장,ME181423,01,06,충청남도 태안군 안면읍 창기리 1304-6,null,null,24시간 이용가능,36.5710641,126.3165072,ME,환경부,환경부,1661-9408,2,20250515161313,20250513125447,20250513133806,,,50,단독,44,44825,D0,D001,Y,,N,,N,,N,2018,충청남도
태안해안국립공원 삼봉주차장,ME181423,02,06,충청남도 태안군 안면읍 창기리 1304-6,null,null,24시간 이용가능,36.5710641,126.3165072,ME,환경부,환경부,1661-9408,2,20250515161231,20250514131949,20250514140416,,,50,단독,44,44825,D0,D001,Y,,N,,N,,N,2018,충청남도
태안해안국립공원 학암포야영장,ME181424,01,06,충청남도 태안군 원북면 방갈리 515-79,null,null,24시간 이용가능,36.896882,126.206457,ME,환경부,환경부,1661-9408,2,20250515161516,20250513100820,20250513102341,,,50,단독,44,44825,D0,D001,Y,,N,,N,,N,2018,충청남도
태안해안국립공원 학암포야영장,ME181424,02,06,충청남도 태안군 원북면 방갈리 515-79,null,null,24시간 이용가능,36.896882,126.206457,ME,환경부,환경부,1661-9408,2,20250515161130,20250515122627,20250515130718,,,50,단독,44,44825,D0,D001,Y,,N,,N,,N,2018,충청남도
대하마트,ME181434,01,06,충청남도 천안시 서북구 월봉로 95-0 (쌍용2동),null,null,10:00~23:00,36.799709,127.117648,ME,환경부,환경부,1661-9408,2,20250515161353,20250515150118,20250515154739,,,50,단독,44,44130,E0,E001,Y,,N,,N,,N,2018,충청남도
대하마트,ME181434,02,06,충청남도 천안시 서북구 월봉로 95-0 (쌍용2동),null,null,10:00~23:00,36.799709,127.117648,ME,환경부,환경부,1661-9408,2,20250515161546,20250515145256,20250515153831,,,50,단독,44,44130,E0,E001,Y,,N,,N,,N,2018,충청남도
롯데마트 홍성점,ME181435,01,06,충청남도 홍성군 홍성읍 조양로247번길 9 (고암리),null,null,10:00~23:00,36.600955,126.676311,ME,환경부,환경부,1661-9408,2,20250515161258,20250515124845,20250515130007,,,50,단독,44,44800,E0,E001,Y,,N,,N,,N,2018,충청남도
예산군청,ME183108,01,06,"충청남도 예산군 예산읍 군청로 22, 지하주차장 정면",null,null,24시간 이용가능,36.6801958,126.8453442,ME,환경부,환경부,1661-9408,2,20250515161606,20250515143330,20250515151633,,,50,단독,44,44810,A0,A001,Y,,N,,N,,N,2018,충청남도
예산군청,ME183108,02,04,"충청남도 예산군 예산읍 군청로 22, 지하주차장 정면",null,null,24시간 이용가능,36.6801958,126.8453442,ME,환경부,환경부,1661-9408,2,20250515161606,20250515140518,20250515140719,,,100,동시,44,44810,A0,A001,Y,,N,,N,,N,2018,충청남도
예산군청,ME183108,52,04,"충청남도 예산군 예산읍 군청로 22, 지하주차장 정면",null,null,24시간 이용가능,36.6801958,126.8453442,ME,환경부,환경부,1661-9408,2,20250515161401,20250515140743,20250515140935,,,100,동시,44,44810,A0,A001,Y,,N,,N,,N,2018,충청남도
논산시국민체육센터,ME183145,01,06,"충청남도 논산시 논산대로 382, 논산건강관리센터 옆",null,null,24시간 이용가능,36.1957676,127.1023375,ME,환경부,환경부,1661-9408,2,20250515161229,20250514140105,20250514143251,,,50,단독,44,44230,A0,A004,Y,,N,,N,,N,2018,충청남도
논산시국민체육센터,ME183145,02,04,"충청남도 논산시 논산대로 382, 논산건강관리센터 옆",null,null,24시간 이용가능,36.1957676,127.1023375,ME,환경부,환경부,1661-9408,2,20250515161136,20250515111458,20250515113108,,,100,동시,44,44230,A0,A004,Y,,N,,N,,N,2018,충청남도
논산시국민체육센터,ME183145,52,04,"충청남도 논산시 논산대로 382, 논산건강관리센터 옆",null,null,24시간 이용가능,36.1957676,127.1023375,ME,환경부,환경부,1661-9408,2,20250515161140,20250514125715,20250514132517,,,100,동시,44,44230,A0,A004,Y,,N,,N,,N,2018,충청남도
연무문화체육센터,ME183146,01,06,"충청남도 논산시 연무로 166번길 64, 2주차장",null,null,24시간 이용가능,36.1261993,127.0959728,ME,환경부,환경부,1661-9408,2,20250515161401,20250514141410,20250514142205,,,50,단독,44,44230,A0,A004,Y,,N,,N,,N,2018,충청남도
연무문화체육센터,ME183146,02,04,"충청남도 논산시 연무로 166번길 64, 2주차장",null,null,24시간 이용가능,36.1261993,127.0959728,ME,환경부,환경부,1661-9408,2,20250515161412,20250514174937,20250514183239,,,100,동시,44,44230,A0,A004,Y,,N,,N,,N,2018,충청남도
연무문화체육센터,ME183146,52,04,"충청남도 논산시 연무로 166번길 64, 2주차장",null,null,24시간 이용가능,36.1261993,127.0959728,ME,환경부,환경부,1661-9408,2,20250515161407,20250515113505,20250515115409,,,100,동시,44,44230,A0,A004,Y,,N,,N,,N,2018,충청남도
주교면 행정복지센터,ME183147,01,06,충청남도 보령시 주교면 울계큰길 396,null,null,24시간 이용가능,36.3902835,126.56861,ME,환경부,환경부,1661-9408,2,20250515161227,20250515111733,20250515114633,,,50,단독,44,44180,I0,I006,Y,,N,,N,,N,2018,충청남도
주교면 행정복지센터,ME183147,02,04,충청남도 보령시 주교면 울계큰길 396,null,null,24시간 이용가능,36.3902835,126.56861,ME,환경부,환경부,1661-9408,2,20250515161608,20250514204900,20250514211537,,,100,동시,44,44180,I0,I006,Y,,N,,N,,N,2018,충청남도
주교면 행정복지센터,ME183147,52,04,충청남도 보령시 주교면 울계큰길 396,null,null,24시간 이용가능,36.3902835,126.56861,ME,환경부,환경부,1661-9408,2,20250515161604,20250514065248,20250514073551,,,100,동시,44,44180,I0,I006,Y,,N,,N,,N,2018,충청남도
대천해수욕장 제1주차장,ME183148,01,06,충청남도 보령시 신흑동 1437-3,null,null,24시간 이용가능,36.3069531,126.51994,ME,환경부,환경부,1661-9408,2,20250515161439,20250515143902,20250515150632,,,50,단독,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
대천해수욕장 제1주차장,ME183148,02,04,충청남도 보령시 신흑동 1437-3,null,null,24시간 이용가능,36.3069531,126.51994,ME,환경부,환경부,1661-9408,2,20250515161602,20250515112103,20250515112504,,,100,동시,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
대천해수욕장 제1주차장,ME183148,52,04,충청남도 보령시 신흑동 1437-3,null,null,24시간 이용가능,36.3069531,126.51994,ME,환경부,환경부,1661-9408,2,20250515161606,20250515112314,20250515112504,,,100,동시,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
머드광장,ME183149,01,06,"충청남도 보령시 신흑동 2279, 입구 우측 안쪽",null,null,24시간 이용가능,36.3171775,126.5135237,ME,환경부,환경부,1661-9408,2,20250515161530,20250514075213,20250514082838,,,50,단독,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
머드광장,ME183149,02,04,"충청남도 보령시 신흑동 2279, 입구 우측 안쪽",null,null,24시간 이용가능,36.3171775,126.5135237,ME,환경부,환경부,1661-9408,2,20250515161338,20250515145416,20250515150808,,,100,동시,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
머드광장,ME183149,52,04,"충청남도 보령시 신흑동 2279, 입구 우측 안쪽",null,null,24시간 이용가능,36.3171775,126.5135237,ME,환경부,환경부,1661-9408,2,20250515161340,20250515122314,20250515122657,,,100,동시,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
무창포해수욕장 제6공영주차장,ME183150,01,06,"충청남도 보령시 웅천읍 독산리 784-2, 입구 좌측",null,null,24시간 이용가능,36.2386759,126.5313824,ME,환경부,환경부,1661-9408,2,20250515161257,20250513073419,20250513081929,,,50,단독,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
무창포해수욕장 제6공영주차장,ME183150,02,04,"충청남도 보령시 웅천읍 독산리 784-2, 입구 좌측",null,null,24시간 이용가능,36.2386759,126.5313824,ME,환경부,환경부,1661-9408,2,20250515161313,20250514211337,20250514215639,,,100,동시,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
무창포해수욕장 제6공영주차장,ME183150,52,04,"충청남도 보령시 웅천읍 독산리 784-2, 입구 좌측",null,null,24시간 이용가능,36.2386759,126.5313824,ME,환경부,환경부,1661-9408,2,20250515161311,20250514130936,20250514131133,,,100,동시,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
주포면사무소,ME183151,01,06,충청남도 보령시 주포면 보령읍성길 38-1,null,null,24시간 이용가능,36.4148367,126.5879649,ME,환경부,환경부,1661-9408,2,20250515161125,20250429180720,20250429183236,,,50,단독,44,44180,A0,A002,Y,,N,,N,,N,2018,충청남도
주포면사무소,ME183151,02,04,충청남도 보령시 주포면 보령읍성길 38-1,null,null,24시간 이용가능,36.4148367,126.5879649,ME,환경부,환경부,1661-9408,2,20250515161143,20250515114434,20250515122735,,,100,동시,44,44180,A0,A002,Y,,N,,N,,N,2018,충청남도
주포면사무소,ME183151,52,04,충청남도 보령시 주포면 보령읍성길 38-1,null,null,24시간 이용가능,36.4148367,126.5879649,ME,환경부,환경부,1661-9408,2,20250515161149,20250514154444,20250514161430,,,100,동시,44,44180,A0,A002,Y,,N,,N,,N,2018,충청남도
한산119안전센터 공영주차장,ME183153,01,06,"충청남도 서천군 한산면 지현리 8, 건물 우측",null,null,24시간 이용가능,36.0836479,126.8070099,ME,환경부,환경부,1661-9408,2,20250515161511,20250507153445,20250507153736,,,50,단독,44,44770,B0,B001,Y,,N,,N,,N,2018,충청남도
한산119안전센터 공영주차장,ME183153,02,04,"충청남도 서천군 한산면 지현리 8, 건물 우측",null,null,24시간 이용가능,36.0836479,126.8070099,ME,환경부,환경부,1661-9408,2,20250515161318,20250513160233,20250513161959,,,100,동시,44,44770,B0,B001,Y,,N,,N,,N,2018,충청남도
한산119안전센터 공영주차장,ME183153,52,04,"충청남도 서천군 한산면 지현리 8, 건물 우측",null,null,24시간 이용가능,36.0836479,126.8070099,ME,환경부,환경부,1661-9408,2,20250515161312,20250511153327,20250511155749,,,100,동시,44,44770,B0,B001,Y,,N,,N,,N,2018,충청남도
판교면행정복지센터,ME183154,01,06,"충청남도 서천군 판교면 현암리 183-1, 입구 좌측",null,null,24시간 이용가능,36.1578447,126.689357,ME,환경부,환경부,1661-9408,2,20250515161156,20250515144424,20250515144625,,,50,단독,44,44770,I0,I006,Y,,N,,N,,N,2018,충청남도
판교면행정복지센터,ME183154,02,04,"충청남도 서천군 판교면 현암리 183-1, 입구 좌측",null,null,24시간 이용가능,36.1578447,126.689357,ME,환경부,환경부,1661-9408,2,20250515161401,20250515144801,20250515144914,,,100,동시,44,44770,I0,I006,Y,,N,,N,,N,2018,충청남도
판교면행정복지센터,ME183154,52,04,"충청남도 서천군 판교면 현암리 183-1, 입구 좌측",null,null,24시간 이용가능,36.1578447,126.689357,ME,환경부,환경부,1661-9408,2,20250515161403,20250514124258,20250514132559,,,100,동시,44,44770,I0,I006,Y,,N,,N,,N,2018,충청남도
천안박물관,ME183155,01,06,충청남도 천안시 동남구 삼룡동 260-3,null,null,24시간 이용가능,36.786312,127.164105,ME,환경부,환경부,1661-9408,9,20241216171810,20241210153711,20241210155636,,,50,단독,44,44130,A0,A004,Y,,N,,N,,N,2018,충청남도
천안박물관,ME183155,02,04,충청남도 천안시 동남구 삼룡동 260-3,null,null,24시간 이용가능,36.786312,127.164105,ME,환경부,환경부,1661-9408,9,20241216171810,20241210020907,20241210025211,20241210153749,,100,동시,44,44130,A0,A004,Y,,N,,N,,N,2018,충청남도
천안박물관,ME183155,52,04,충청남도 천안시 동남구 삼룡동 260-3,null,null,24시간 이용가능,36.786312,127.164105,ME,환경부,환경부,1661-9408,9,20241216171810,20241210132825,20241210140948,,,100,동시,44,44130,A0,A004,Y,,N,,N,,N,2018,충청남도
서부농협 광리지점,ME183156,01,06,충청남도 홍성군 서부면 서부로 777,null,null,24시간 이용가능,36.5978325,126.504842,ME,환경부,환경부,1661-9408,2,20250515161513,20250515104546,20250515112711,,,50,단독,44,44800,G0,G003,Y,,N,,N,,N,2018,충청남도
서부농협 광리지점,ME183156,02,04,충청남도 홍성군 서부면 서부로 777,null,null,24시간 이용가능,36.5978325,126.504842,ME,환경부,환경부,1661-9408,2,20250515161506,20250514124859,20250514131015,,,100,동시,44,44800,G0,G003,Y,,N,,N,,N,2018,충청남도
서부농협 광리지점,ME183156,52,04,충청남도 홍성군 서부면 서부로 777,null,null,24시간 이용가능,36.5978325,126.504842,ME,환경부,환경부,1661-9408,2,20250515161523,20250508122943,20250508125819,,,100,동시,44,44800,G0,G003,Y,,N,,N,,N,2018,충청남도
충청남도청,ME183157,01,06,"충청남도 홍성군 홍북읍 충남대로 21, 입구 좌측 끝",null,null,24시간 이용가능,36.6581027,126.6714352,ME,환경부,환경부,1661-9408,2,20250515161241,20250512120102,20250512124407,,,50,단독,44,44800,A0,A003,Y,,N,,N,,N,2018,충청남도
충청남도청,ME183157,02,04,"충청남도 홍성군 홍북읍 충남대로 21, 입구 좌측 끝",null,null,24시간 이용가능,36.6581027,126.6714352,ME,환경부,환경부,1661-9408,2,20250515161458,20250514134442,20250514142743,,,100,동시,44,44800,A0,A003,Y,,N,,N,,N,2018,충청남도
충청남도청,ME183157,52,04,"충청남도 홍성군 홍북읍 충남대로 21, 입구 좌측 끝",null,null,24시간 이용가능,36.6581027,126.6714352,ME,환경부,환경부,1661-9408,2,20250515161503,20250514073720,20250514074359,,,100,동시,44,44800,A0,A003,Y,,N,,N,,N,2018,충청남도
블루핸즈 서산현대서비스,ME183158,01,06,충청남도 서산시 수석동 204-19,null,null,24시간 이용가능,36.7820781,126.497637,ME,환경부,환경부,1661-9408,2,20250515161133,20250512161645,20250512162116,,,50,단독,44,44210,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 서산현대서비스,ME183158,02,04,충청남도 서산시 수석동 204-19,null,null,24시간 이용가능,36.7820781,126.497637,ME,환경부,환경부,1661-9408,2,20250515161136,20250514210239,20250514213745,,,100,동시,44,44210,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 서산현대서비스,ME183158,52,04,충청남도 서산시 수석동 204-19,null,null,24시간 이용가능,36.7820781,126.497637,ME,환경부,환경부,1661-9408,2,20250515161123,20250515143130,20250515151431,,,100,동시,44,44210,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 북천안현대서비스,ME183159,01,06,"충청남도 천안시 서북구 신당새터 2길 28, 카페 옆",null,null,24시간 이용가능,36.8508060,127.1575591,ME,환경부,환경부,1661-9408,2,20250515161332,20250515135023,20250515141404,,,50,단독,44,44130,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 북천안현대서비스,ME183159,02,04,"충청남도 천안시 서북구 신당새터 2길 28, 카페 옆",null,null,24시간 이용가능,36.8508060,127.1575591,ME,환경부,환경부,1661-9408,2,20250515161433,20250514091319,20250514094205,,,100,동시,44,44130,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 북천안현대서비스,ME183159,52,04,"충청남도 천안시 서북구 신당새터 2길 28, 카페 옆",null,null,24시간 이용가능,36.8508060,127.1575591,ME,환경부,환경부,1661-9408,2,20250515161423,20250515081637,20250515084711,,,100,동시,44,44130,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 내포현대서비스,ME183160,01,06,충청남도 홍성군 홍북읍 홍북로 453번길 50,null,null,24시간 이용가능,36.6501521,126.6896382,ME,환경부,환경부,1661-9408,2,20250515161605,20250505101723,20250505105139,,,50,단독,44,44800,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 내포현대서비스,ME183160,02,04,충청남도 홍성군 홍북읍 홍북로 453번길 50,null,null,24시간 이용가능,36.6501521,126.6896382,ME,환경부,환경부,1661-9408,2,20250515161604,20250514121529,20250514123434,,,100,동시,44,44800,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 내포현대서비스,ME183160,52,04,충청남도 홍성군 홍북읍 홍북로 453번길 50,null,null,24시간 이용가능,36.6501521,126.6896382,ME,환경부,환경부,1661-9408,2,20250515161550,20250508172915,20250508173217,,,100,동시,44,44800,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 오관점,ME183161,01,06,충청남도 홍성군 홍성읍 충서로 1402,null,null,24시간 이용가능,36.6006257,126.6535383,ME,환경부,환경부,1661-9408,5,20250515154538,20250515152103,20250515152254,,,50,단독,44,44800,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 오관점,ME183161,02,04,충청남도 홍성군 홍성읍 충서로 1402,null,null,24시간 이용가능,36.6006257,126.6535383,ME,환경부,환경부,1661-9408,2,20250515161426,20250515151315,20250515151511,,,100,동시,44,44800,F0,F002,Y,,N,,N,,N,2018,충청남도
블루핸즈 오관점,ME183161,52,04,충청남도 홍성군 홍성읍 충서로 1402,null,null,24시간 이용가능,36.6006257,126.6535383,ME,환경부,환경부,1661-9408,2,20250515161427,20250515151543,20250515151742,,,100,동시,44,44800,F0,F002,Y,,N,,N,,N,2018,충청남도
당진시청,ME184134,01,06,충청남도 당진시 시청1로 1,", 후문 앞 우측",null,24시간 이용가능,36.8906781,126.6453379,ME,환경부,환경부,1661-9408,2,20250515161301,20250515115932,20250515124247,,,50,단독,44,44270,A0,A001,Y,,N,,N,,N,2018,충청남도
아산시청,ME184135,01,06,충청남도 아산시 시민로 456,null,null,24시간 이용가능,36.790230,127.001773,ME,환경부,환경부,1661-9408,2,20250515161540,20250514155138,20250514163457,,,50,단독,44,44200,A0,A001,Y,,N,,N,,N,2018,충청남도
천안종합운동장 실내테니스장,ME184136,01,06,충청남도 천안시 서북구 번영로 208,null,null,24시간 이용가능,36.816712,127.112333,ME,환경부,환경부,1661-9408,2,20250515161130,20250515095117,20250515102229,,,50,단독,44,44130,A0,A004,Y,,N,,N,,N,2018,충청남도
홍성(목포) 휴게소,ME184138,01,06,충청남도 홍성군 은하면 서해안고속도로 221,출구방향 야외쉼터 부근 옥외 주차장,null,24시간 이용가능,36.5518466,126.5797654,ME,환경부,환경부,1661-9408,2,20250515161606,20250508174706,20250508182743,,,50,단독,44,44800,C0,C001,Y,,N,,N,,N,2018,충청남도
두마면사무소,ME18A181,01,06,충청남도 계룡시 두마면 팥거리2길 14,null,null,24시간 이용가능,36.266718,127.272804,ME,환경부,환경부,1661-9408,2,20250515161410,20250514201300,20250514202444,,,100,단독,44,44250,A0,A002,Y,,N,,N,,N,2018,충청남도
공주(당진) 휴게소,ME18A182,01,06,충청남도 공주시 의당면 당진영덕고속도로 71,null,null,24시간 이용가능,36.4985807,127.1666133,ME,환경부,환경부,1661-9408,2,20250515161237,20250514160325,20250514162130,,,100,단독,44,44150,C0,C001,Y,,N,,N,,N,2018,충청남도
공주(대전) 휴게소,ME18A183,01,06,충청남도 공주시 당진영덕고속도로 72,null,null,24시간 이용가능,36.496799,127.165376,ME,환경부,환경부,1661-9408,2,20250515161315,20250515153417,20250515155129,,,100,단독,44,44150,C0,C001,Y,,N,,N,,N,2018,충청남도
사곡면사무소,ME18A184,01,06,충청남도 공주시 사곡면 호계리 309,null,null,24시간 이용가능,36.5021397,127.0256276,ME,환경부,환경부,1661-9408,2,20250515161242,20250515151454,20250515155800,,,100,단독,44,44150,A0,A002,Y,,N,,N,,N,2018,충청남도
신풍면사무소,ME18A185,01,06,충청남도 공주시 신풍면 안뜸길 14,null,null,24시간 이용가능,36.51475,126.955752,ME,환경부,환경부,1661-9408,2,20250515161243,20250514165712,20250514173712,,,100,단독,44,44150,A0,A002,Y,,N,,N,,N,2018,충청남도
벌곡(대전) 휴게소,ME18A186,01,06,충청남도 논산시 벌곡면 벌곡로 9-58,null,null,24시간 이용가능,36.210963,127.270945,ME,환경부,환경부,1661-9408,2,20250515161324,20250515151919,20250515154818,,,100,단독,44,44230,C0,C001,Y,,N,,N,,N,2018,충청남도
당진근로자복지회관,ME18A187,01,06,충청남도 당진시 송악읍 부곡공단4길 53-13,null,null,24시간 이용가능,36.961665,126.775816,ME,환경부,환경부,1661-9408,2,20250515161327,20250515125555,20250515132640,,,100,단독,44,44270,I0,I006,Y,,N,,N,,N,2018,충청남도
석문문화스포츠센터,ME18A188,01,06,충청남도 당진시 석문면 대호만로 1543,null,null,24시간 이용가능,37.003233,126.553698,ME,환경부,환경부,1661-9408,2,20250515161519,20250514133927,20250514142007,,,100,단독,44,44270,A0,A004,Y,,N,,N,,N,2018,충청남도
송악문화스포츠센타,ME18A189,01,06,충청남도 당진시 틀모시로 830,null,null,24시간 이용가능,36.907025,126.691711,ME,환경부,환경부,1661-9408,2,20250515161352,20250515144950,20250515153255,,,100,단독,44,44270,A0,A004,Y,,N,,N,,N,2018,충청남도
궁촌동 공영주차장,ME18A190,01,06,충청남도 보령시 궁촌동 43-2,null,null,24시간 이용가능,36.343237,126.596518,ME,환경부,환경부,1661-9408,2,20250515161544,20250515103830,20250515110836,,,100,단독,44,44180,B0,B001,Y,,N,,N,,N,2018,충청남도
장현보건진료소,ME18A191,01,06,충청남도 보령시 청라면 장현리 760-9 ,null,null,24시간 이용가능,36.420434,126.662475,ME,환경부,환경부,1661-9408,2,20250515161514,20250513151606,20250513154541,,,100,단독,44,44180,I0,I003,Y,,N,,N,,N,2018,충청남도
대천(목포) 휴게소,ME18A192,01,06,충청남도 보령시 주교면 서해안고속도로 199,null,null,24시간 이용가능,36.373665,126.556021,ME,환경부,환경부,1661-9408,2,20250515161211,20250503143919,20250503150830,,,100,단독,44,44180,C0,C001,Y,,N,,N,,N,2018,충청남도
