statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
구시장 주차장,ME174089,01,06,경상북도 봉화군 봉화읍 내성리 231-30,null,null,24시간 이용가능,36.88931520,128.73893050,ME,환경부,환경부,1661-9408,2,20250515155538,20250515142555,20250515150913,,,50,단독,47,47920,B0,B004,Y,,N,,N,,N,2017,경상북도
김천(부산) 휴게소,ME178004,01,06,경상북도 김천시 농소면 경부고속도로 193 (신촌리),null,null,24시간 이용가능,36.129385,128.164209,ME,환경부,환경부,1661-9408,2,20250515155320,20250514154624,20250514162930,,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,경상북도
김천(부산) 휴게소,ME178004,02,06,경상북도 김천시 농소면 경부고속도로 193 (신촌리),null,null,24시간 이용가능,36.129385,128.164209,ME,환경부,환경부,1661-9408,2,20250515155324,20250514215919,20250514220611,,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,경상북도
김천(서울) 휴게소,ME178005,01,06,경상북도 김천시 농소면 경부고속도로 194 (신촌리),null,null,24시간 이용가능,36.1307247,128.1632209,ME,환경부,환경부,1661-9408,2,20250515155708,20250515083240,20250515084806,,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,경상북도
김천(서울) 휴게소,ME178005,02,06,경상북도 김천시 농소면 경부고속도로 194 (신촌리),null,null,24시간 이용가능,36.1307247,128.1632209,ME,환경부,환경부,1661-9408,2,20250515155454,20250513052708,20250513060209,,,50,단독,47,47150,C0,C001,Y,,N,,N,,N,2017,경상북도
칠곡(부산) 휴게소,ME178006,01,06,경상북도 칠곡군 왜관읍 경부고속도로 159 (아곡리),null,null,24시간 이용가능,36.02025,128.4292831,ME,환경부,환경부,1661-9408,2,20250515155500,20250515151111,20250515153312,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,경상북도
칠곡(부산) 휴게소,ME178006,02,06,경상북도 칠곡군 왜관읍 경부고속도로 159 (아곡리),null,null,24시간 이용가능,36.02025,128.4292831,ME,환경부,환경부,1661-9408,3,20250515155441,20250515134609,20250515135130,20250515154349,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,경상북도
칠곡(부산) 휴게소,ME178006,03,06,경상북도 칠곡군 왜관읍 경부고속도로 159 (아곡리),null,null,24시간 이용가능,36.02025,128.4292831,ME,환경부,환경부,1661-9408,2,20250515155304,20250515144754,20250515150838,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,경상북도
칠곡(부산) 휴게소,ME178006,04,06,경상북도 칠곡군 왜관읍 경부고속도로 159 (아곡리),null,null,24시간 이용가능,36.02025,128.4292831,ME,환경부,환경부,1661-9408,2,20250515155341,20250515135314,20250515135704,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,경상북도
건천(부산) 휴게소,ME178046,01,06,경상북도 경주시 건천읍 경부고속도로 77 (방내리),null,null,24시간 이용가능,35.830231,129.1099622,ME,환경부,환경부,1661-9408,2,20250515155443,20250515124132,20250515132042,,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,경상북도
건천(서울) 휴게소,ME178047,01,06,경상북도 경주시 건천읍 경부고속도로 76 (방내리),null,null,24시간 이용가능,35.8317384,129.1086245,ME,환경부,환경부,1661-9408,3,20250515155426,20250515124609,20250515131445,20250515154714,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,경상북도
동명(춘천) 휴게소,ME178072,01,06,경상북도 칠곡군 동명면 중앙고속도로 122 (가천리),null,null,24시간 이용가능,36.0068197,128.5488571,ME,환경부,환경부,1661-9408,2,20250515155210,20250515144245,20250515152305,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,경상북도
남성주참외(창원) 휴게소,ME178095,01,06,경상북도 성주군 선남면 중부내륙고속도로 77 (명포리),null,null,24시간 이용가능,35.8696384,128.3167169,ME,환경부,환경부,1661-9408,2,20250515155322,20250513044719,20250513052005,,,50,단독,47,47840,C0,C001,Y,,N,,N,,N,2017,경상북도
외동(부산) 휴게소,ME178096,01,06,경상북도 경주시 외동읍 상석길 58-70 (석계리),null,null,24시간 이용가능,35.6722288,129.2853515,ME,환경부,환경부,1661-9408,2,20250515155446,20250512163344,20250512165129,,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,경상북도
외동(부산) 휴게소,ME178096,02,06,경상북도 경주시 외동읍 상석길 58-70 (석계리),null,null,24시간 이용가능,35.6722288,129.2853515,ME,환경부,환경부,1661-9408,2,20250515155304,20250515124219,20250515130439,,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,경상북도
외동(포항) 휴게소,ME178097,01,06,경상북도 경주시 외동읍 상석길 58-74 (석계리),null,null,24시간 이용가능,35.6730757,129.2882193,ME,환경부,환경부,1661-9408,2,20250515155643,20250515132210,20250515135215,,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,경상북도
외동(포항) 휴게소,ME178097,02,06,경상북도 경주시 외동읍 상석길 58-74 (석계리),null,null,24시간 이용가능,35.6730757,129.2882193,ME,환경부,환경부,1661-9408,3,20250515155359,20250511112228,20250511120533,20250515155356,,50,단독,47,47130,C0,C001,Y,,N,,N,,N,2017,경상북도
와촌(포항) 휴게소,ME178098,01,06,경상북도 경산시 와촌면 강학길 103 (강학리),null,null,24시간 이용가능,35.9520202,128.7754218,ME,환경부,환경부,1661-9408,2,20250515155416,20250515143208,20250515144854,,,50,단독,47,47290,C0,C001,Y,,N,,N,,N,2017,경상북도
와촌(포항) 휴게소,ME178098,02,06,경상북도 경산시 와촌면 강학길 103 (강학리),null,null,24시간 이용가능,35.9520202,128.7754218,ME,환경부,환경부,1661-9408,2,20250515155448,20250515133734,20250515142040,,,50,단독,47,47290,C0,C001,Y,,N,,N,,N,2017,경상북도
청통(대구) 휴게소,ME178099,01,06,경상북도 영천시 청통면 청통로 334-42 (우천리),null,null,24시간 이용가능,35.9938324,128.8600932,ME,환경부,환경부,1661-9408,2,20250515155228,20250515153549,20250515155113,,,50,단독,47,47230,C0,C001,Y,,N,,N,,N,2017,경상북도
청통(대구) 휴게소,ME178099,02,06,경상북도 영천시 청통면 청통로 334-42 (우천리),null,null,24시간 이용가능,35.9938324,128.8600932,ME,환경부,환경부,1661-9408,2,20250515155217,20250514065000,20250514071226,,,50,단독,47,47230,C0,C001,Y,,N,,N,,N,2017,경상북도
의성(영덕) 휴게소,ME178103,01,06,경상북도 의성군 안계면 새못안길 45-47 (양곡리),null,null,24시간 이용가능,36.40962390,128.44679060,ME,환경부,환경부,1661-9408,2,20250515155404,20250514113932,20250514114407,,,50,단독,47,47730,C0,C001,Y,,N,,N,,N,2017,경상북도
의성(영덕) 휴게소,ME178103,02,06,경상북도 의성군 안계면 새못안길 45-47 (양곡리),null,null,24시간 이용가능,36.40962390,128.44679060,ME,환경부,환경부,1661-9408,2,20250515155218,20250515135904,20250515144206,,,50,단독,47,47730,C0,C001,Y,,N,,N,,N,2017,경상북도
한국도로공사본사,ME178130,01,06,경상북도 김천시 혁신8로 77,null,null,24시간 이용가능,36.1279350,128.1900168,ME,환경부,환경부,1661-9408,2,20250515155509,20250422153736,20250422154952,,,50,단독,47,47150,A0,A003,Y,,N,,N,,N,2017,경상북도
한국도로공사본사,ME178130,02,06,경상북도 김천시 혁신8로 77,null,null,24시간 이용가능,36.1279350,128.1900168,ME,환경부,환경부,1661-9408,2,20250515155501,20250515123728,20250515132034,,,50,단독,47,47150,A0,A003,Y,,N,,N,,N,2017,경상북도
낙동강구미휴게소(상행),ME178135,01,06,경상북도 구미시 도개면 용산리,null,null,24시간 이용가능,36.3430327,128.3013225,ME,환경부,환경부,1661-9408,2,20250515155426,20250515153009,20250515155425,,,50,단독,47,47190,C0,C001,Y,,N,,N,,N,2017,경상북도
낙동강구미휴게소(상행),ME178135,02,06,경상북도 구미시 도개면 용산리,null,null,24시간 이용가능,36.3430327,128.3013225,ME,환경부,환경부,1661-9408,2,20250515155211,20250514170947,20250514171618,,,50,단독,47,47190,C0,C001,Y,,N,,N,,N,2017,경상북도
낙동강의성휴게소(하행),ME178136,01,06,경상북도 구미시 도개면 용산리 산21-8,null,null,24시간 이용가능,36.345174,128.2967428,ME,환경부,환경부,1661-9408,2,20250515155525,20250514193842,20250514200717,,,50,단독,47,47190,C0,C001,Y,,N,,N,,N,2017,경상북도
낙동강의성휴게소(하행),ME178136,02,06,경상북도 구미시 도개면 용산리 산21-8,null,null,24시간 이용가능,36.345174,128.2967428,ME,환경부,환경부,1661-9408,2,20250515155248,20250515150722,20250515152858,,,50,단독,47,47190,C0,C001,Y,,N,,N,,N,2017,경상북도
군위영천휴게소(하행),ME178137,01,06,경상북도 군위군 산성면 백학리,null,null,24시간 이용가능,36.070161,128.7097063,ME,환경부,환경부,1661-9408,2,20250515155312,20250515031834,20250515040139,,,50,단독,47,47720,C0,C001,Y,,N,,N,,N,2017,경상북도
군위영천휴게소(하행),ME178137,02,06,경상북도 군위군 산성면 백학리,null,null,24시간 이용가능,36.070161,128.7097063,ME,환경부,환경부,1661-9408,2,20250515155314,20250515144637,20250515150636,,,50,단독,47,47720,C0,C001,Y,,N,,N,,N,2017,경상북도
가야산 백운동 주차장,ME181205,01,06,경상북도 성주군 수륜면 가야산식물원길 49,(백운리 1282-16),null,24시간 이용가능,35.8014618,128.1419992,ME,환경부,환경부,1661-9408,2,20250515155327,20250511175414,20250511183535,,,50,단독,47,47840,B0,B002,Y,,N,,N,,N,2018,경상북도
가야산 백운동 주차장,ME181205,02,06,경상북도 성주군 수륜면 가야산식물원길 49,(백운리 1282-16),null,24시간 이용가능,35.8014618,128.1419992,ME,환경부,환경부,1661-9408,2,20250515155554,20250515142945,20250515143635,,,50,단독,47,47840,B0,B002,Y,,N,,N,,N,2018,경상북도
신공단주유소,ME181305,01,06,경상북도 경산시 진량읍 공단로 299,전기차충전소,null,24시간 이용가능,35.858188024,128.82018737,ME,환경부,환경부,1661-9408,2,20250515155608,20250515143035,20250515151035,,,50,단독,47,47290,E0,E007,Y,,N,,N,,N,2018,경상북도
현대LPG행복충전소,ME181306,01,06,경상북도 경주시 외동읍 산업로 2759,null,null,24시간 이용가능,35.756654959,129.31395785,ME,환경부,환경부,1661-9408,2,20250515155246,20250511014519,20250511021428,,,50,단독,47,47130,E0,E007,Y,,N,,N,,N,2018,경상북도
아리랑 주유소(상주시),ME181307,01,06,경상북도 상주시 계산동 189-6,null,null,24시간 이용가능,36.42832,128.172943,ME,환경부,환경부,1661-9408,2,20250515155427,20250506212151,20250506214000,,,50,단독,47,47250,E0,E007,Y,,N,,N,,N,2018,경상북도
승춘에너지,ME181308,01,06,경상북도 상주시 함창로581번지 ,null,null,24시간 이용가능,36.57862600,128.19132700,ME,환경부,환경부,1661-9408,2,20250515155320,20250514114558,20250514122633,,,50,단독,47,47250,E0,E007,Y,,N,,N,,N,2018,경상북도
대동주유소,ME181309,01,06,경상북도 상주시 화남면 문장로758,null,null,24시간 이용가능,36.4806531,127.93259050,ME,환경부,환경부,1661-9408,2,20250515155226,20250515092653,20250515092913,,,50,단독,47,47250,E0,E007,Y,,N,,N,,N,2018,경상북도
S-oil LPG 상주충전소,ME181310,01,06,경상북도 상주시 영남제일로1950,null,null,24시간 이용가능,36.41527570,128.13201360,ME,환경부,환경부,1661-9408,2,20250515155619,20250505171919,20250505173020,,,50,단독,47,47250,E0,E007,Y,,N,,N,,N,2018,경상북도
SK SnS 만남주유소,ME181311,01,06,경상북도 상주시 영남제일로 1273,null,null,24시간 이용가능,36.41811780,128.20078070,ME,환경부,환경부,1661-9408,2,20250515155409,20250510200753,20250510204144,,,50,단독,47,47250,E0,E007,Y,,N,,N,,N,2018,경상북도
상산주유소,ME181312,01,06,경상북도 상주시 영남 제일로 1339,null,null,24시간 이용가능,36.418211,128.193527,ME,환경부,환경부,1661-9408,2,20250515155315,20250509154415,20250509160000,,,50,단독,47,47250,E0,E007,Y,,N,,N,,N,2018,경상북도
카페에비뉴 220,ME181313,01,06,경상북도 안동시 상아동 266-2,null,null,24시간 이용가능,36.58986190,128.74220850,ME,환경부,환경부,1661-9408,2,20250515155352,20250514213925,20250514222331,,,50,단독,47,47170,E0,E005,Y,,N,,N,,N,2018,경상북도
휴네스트,ME181314,01,06,경상북도 영덕군 병곡면 병곡리 360번지,null,null,24시간 이용가능,36.60902390,129.41344410,ME,환경부,환경부,1661-9408,2,20250515155428,20250512113513,20250512113939,,,50,단독,47,47770,E0,E003,Y,,N,,N,,N,2018,경상북도
구미 아리랑 주유소,ME181315,01,06,경상북도 구미시 오태동659-13,null,null,24시간 이용가능,36.077883,128.352893,ME,환경부,환경부,1661-9408,2,20250515155327,20250512184731,20250512191326,,,50,단독,47,47190,E0,E007,Y,,N,,N,,N,2018,경상북도
퍼빌무인텔(토담),ME181316,01,06,경상북도 예천군 보문면 오암리 584-1,null,null,24시간 이용가능,36.66537230,128.52695780,ME,환경부,환경부,1661-9408,2,20250515155644,20250513175419,20250513180936,,,50,단독,47,47900,E0,E003,Y,,N,,N,,N,2018,경상북도
공단주유소LPG충전소,ME181317,01,06,경상북도 의성군 안계면 서부로1783,null,null,24시간 이용가능,36.39144230,128.43155070,ME,환경부,환경부,1661-9408,2,20250515155439,20250503071142,20250503071851,,,50,단독,47,47730,E0,E007,Y,,N,,N,,N,2018,경상북도
포항공과대학교 포스빌 6동주차장,ME181319,01,06,경상북도 포항시 남구 지곡로 83,null,null,24시간 이용가능,36.014232,129.325094,ME,환경부,환경부,1661-9408,2,20250515155535,20250512183247,20250512191003,,,50,단독,47,47110,J0,J001,Y,,N,,N,,N,2018,경상북도
선린대학교,ME181320,01,06,경상북도 포항시 북구 흥해읍 초곡길36번길 30,null,null,24시간 이용가능,36.0898852,129.3347437,ME,환경부,환경부,1661-9408,2,20250515155418,20250513162035,20250513164720,,,50,단독,47,47110,J0,J001,Y,,N,,N,,N,2018,경상북도
경주국립공원사무소,ME181321,01,06,경상북도 경주시 천북남로 12(신평동),null,null,24시간 이용가능,35.843844,129.289554,ME,환경부,환경부,1661-9408,2,20250515155322,20250513093000,20250513100241,,,50,단독,47,47130,A0,A003,Y,,N,,N,,N,2018,경상북도
경주국립공원사무소,ME181321,02,06,경상북도 경주시 천북남로 12(신평동),null,null,24시간 이용가능,35.843844,129.289554,ME,환경부,환경부,1661-9408,2,20250515155451,20250511175446,20250511183805,,,50,단독,47,47130,A0,A003,Y,,N,,N,,N,2018,경상북도
금호농협클린주유소,ME181322,01,06,경상북도 영천시 금호읍 덕성리 44-1,null,null,24시간 이용가능,35.925036,128.878147,ME,환경부,환경부,1661-9408,2,20250515155624,20250515034440,20250515042514,,,50,단독,47,47230,E0,E007,Y,,N,,N,,N,2018,경상북도
경북주유소,ME181323,01,06,경상북도 영천시 금호읍 교대리74,null,null,24시간 이용가능,35.9354070,128.8731480,ME,환경부,환경부,1661-9408,2,20250515155454,20250514125439,20250514133440,,,50,단독,47,47230,E0,E007,Y,,N,,N,,N,2018,경상북도
청수주유소,ME181324,01,06,경상북도 영천시 한방로53번지,null,null,24시간 이용가능,35.941434233,128.93457554,ME,환경부,환경부,1661-9408,2,20250515155443,20250507105618,20250507105819,,,50,단독,47,47230,E0,E007,Y,,N,,N,,N,2018,경상북도
영천요양병원,ME181325,01,06,경상북도 영천시 천문로594,null,null,24시간 이용가능,35.987732,128.924099,ME,환경부,환경부,1661-9408,2,20250515155624,20250514114224,20250514122224,,,50,단독,47,47230,I0,I001,Y,,N,,N,,N,2018,경상북도
대어돌섬횟집,ME181326,01,06,경상북도 영천시 한방로77,null,null,24시간 이용가능,35.940180230,128.93648407,ME,환경부,환경부,1661-9408,2,20250515155626,20250513235651,20250514001032,,,50,단독,47,47230,E0,E006,Y,,N,,N,,N,2018,경상북도
소백산국립공원 삼가주차장,ME181328,01,06,경상북도 영주시 풍기읍 삼가로 476,null,null,24시간 이용가능,36.92297670,128.50367160,ME,환경부,환경부,1661-9408,2,20250515155706,20250504073239,20250504094140,,,50,단독,47,47210,D0,D001,Y,,N,,N,,N,2018,경상북도
롯데마트 포항점,ME181331,01,06,경상북도 포항시 남구 지곡로 247-0 (지곡동),null,null,10:00~23:00,36.027599,129.324699,ME,환경부,환경부,1661-9408,2,20250515155521,20250514145255,20250514150926,,,50,단독,47,47110,E0,E001,Y,,N,,N,,N,2018,경상북도
소백산 생태탐방원,ME181412,01,06,경상북도 영주시 단산면 옥대리 산 16-1,null,null,24시간 이용가능,36.97163970,128.60833540,ME,환경부,환경부,1661-9408,2,20250515155313,20250418100454,20250418104814,,,50,단독,47,47210,D0,D001,Y,,N,,N,,N,2018,경상북도
소백산 생태탐방원,ME181412,02,06,경상북도 영주시 단산면 옥대리 산 16-1,null,null,24시간 이용가능,36.97163970,128.60833540,ME,환경부,환경부,1661-9408,2,20250515155343,20250511163402,20250511172025,,,50,단독,47,47210,D0,D001,Y,,N,,N,,N,2018,경상북도
가흥1동 주민자치센터,ME183052,01,06,경상북도 영주시 가흥동 1622,null,null,24시간 이용가능,36.8156201,128.6039755,ME,환경부,환경부,1661-9408,2,20250515155627,20250515074008,20250515082313,,,50,단독,47,47210,A0,A002,Y,,N,,N,,N,2018,경상북도
백암온천주차장,ME183079,01,06,"경상북도 울진군 온정면 소태리 1453, 온정종합터미널 뒤",null,null,24시간 이용가능,36.72132730,129.34355130,ME,환경부,환경부,1661-9408,2,20250515155604,20250514195357,20250514203437,,,50,단독,47,47930,B0,B001,Y,,N,,N,,N,2018,경상북도
경주시청,ME183129,01,06,경상북도 경주시 양정로 260,null,null,24시간 이용가능,35.8557609,129.2246499,ME,환경부,환경부,1661-9408,2,20250515155335,20250515141702,20250515150007,,,50,단독,47,47130,A0,A001,N,,N,,N,,N,2018,경상북도
경주시청,ME183129,02,04,경상북도 경주시 양정로 260,null,null,24시간 이용가능,35.8557609,129.2246499,ME,환경부,환경부,1661-9408,2,20250515155401,20250515151055,20250515155359,,,100,동시,47,47130,A0,A001,N,,N,,N,,N,2018,경상북도
경주시청,ME183129,52,04,경상북도 경주시 양정로 260,null,null,24시간 이용가능,35.8557609,129.2246499,ME,환경부,환경부,1661-9408,2,20250515155351,20250514184753,20250514193056,,,100,동시,47,47130,A0,A001,N,,N,,N,,N,2018,경상북도
건천운동장,ME183130,01,06,경상북도 경주시 건천읍 천포리 1122,null,null,24시간 이용가능,35.842096355,129.09324442,ME,환경부,환경부,1661-9408,2,20250515155624,20250510204100,20250510211911,,,50,단독,47,47130,A0,A004,Y,,N,,N,,N,2018,경상북도
건천운동장,ME183130,02,04,경상북도 경주시 건천읍 천포리 1122,null,null,24시간 이용가능,35.842096355,129.09324442,ME,환경부,환경부,1661-9408,2,20250515155707,20250514162547,20250514170858,,,100,동시,47,47130,A0,A004,Y,,N,,N,,N,2018,경상북도
건천운동장,ME183130,52,04,경상북도 경주시 건천읍 천포리 1122,null,null,24시간 이용가능,35.842096355,129.09324442,ME,환경부,환경부,1661-9408,2,20250515155709,20250515131407,20250515135806,,,100,동시,47,47130,A0,A004,Y,,N,,N,,N,2018,경상북도
월정교주차장,ME183131,01,06,경상북도 경주시 천원2길 9,경북 경주시 교동 153-5,null,24시간 이용가능,35.828157560,129.21481998,ME,환경부,환경부,1661-9408,2,20250515155514,20250515084945,20250515091916,,,50,단독,47,47130,B0,B001,Y,,N,,N,,N,2018,경상북도
월정교주차장,ME183131,02,04,경상북도 경주시 천원2길 9,경북 경주시 교동 153-5,null,24시간 이용가능,35.828157560,129.21481998,ME,환경부,환경부,1661-9408,2,20250515155501,20250513083731,20250513085320,,,100,동시,47,47130,B0,B001,Y,,N,,N,,N,2018,경상북도
월정교주차장,ME183131,52,04,경상북도 경주시 천원2길 9,경북 경주시 교동 153-5,null,24시간 이용가능,35.828157560,129.21481998,ME,환경부,환경부,1661-9408,2,20250515155513,20250514205849,20250514211152,,,100,동시,47,47130,B0,B001,Y,,N,,N,,N,2018,경상북도
단계교 주차장,ME183132,01,06,"경상북도 구미시 단계동길 52, 단계교 쉼터 옆 주차장",null,null,24시간 이용가능,36.242692,128.298214,ME,환경부,환경부,1661-9408,2,20250515155231,20250515141810,20250515150115,,,50,단독,47,47190,A0,A004,Y,,N,,N,,N,2018,경상북도
단계교 주차장,ME183132,02,04,"경상북도 구미시 단계동길 52, 단계교 쉼터 옆 주차장",null,null,24시간 이용가능,36.242692,128.298214,ME,환경부,환경부,1661-9408,2,20250515155414,20250515121307,20250515125322,,,100,동시,47,47190,A0,A004,Y,,N,,N,,N,2018,경상북도
단계교 주차장,ME183132,52,04,"경상북도 구미시 단계동길 52, 단계교 쉼터 옆 주차장",null,null,24시간 이용가능,36.242692,128.298214,ME,환경부,환경부,1661-9408,3,20250515155419,20250515130205,20250515134307,20250515153351,,100,동시,47,47190,A0,A004,Y,,N,,N,,N,2018,경상북도
지좌동주민센터,ME183133,01,06,경상북도 김천시 영남대로 1940,null,null,24시간 이용가능,36.1200022,128.1423776,ME,환경부,환경부,1661-9408,2,20250515155536,20250513161957,20250513163612,,,50,단독,47,47150,A0,A002,Y,,N,,N,,N,2018,경상북도
지좌동주민센터,ME183133,02,04,경상북도 김천시 영남대로 1940,null,null,24시간 이용가능,36.1200022,128.1423776,ME,환경부,환경부,1661-9408,2,20250515155545,20250515152959,20250515155119,,,100,동시,47,47150,A0,A002,Y,,N,,N,,N,2018,경상북도
지좌동주민센터,ME183133,52,04,경상북도 김천시 영남대로 1940,null,null,24시간 이용가능,36.1200022,128.1423776,ME,환경부,환경부,1661-9408,2,20250515155529,20250514183429,20250514191003,,,100,동시,47,47150,A0,A002,Y,,N,,N,,N,2018,경상북도
후포문화복지센터,ME183134,01,06,경상북도 울진군 후포면 삼율로 17,후포문화복지센터,null,24시간 이용가능,36.6783476,129.4397067,ME,환경부,환경부,1661-9408,2,20250515155342,20250514195338,20250514203643,,,50,단독,47,47930,A0,A002,Y,,N,,N,,N,2018,경상북도
후포문화복지센터,ME183134,02,04,경상북도 울진군 후포면 삼율로 17,후포문화복지센터,null,24시간 이용가능,36.6783476,129.4397067,ME,환경부,환경부,1661-9408,2,20250515155345,20250515144307,20250515151005,,,100,동시,47,47930,A0,A002,Y,,N,,N,,N,2018,경상북도
후포문화복지센터,ME183134,52,04,경상북도 울진군 후포면 삼율로 17,후포문화복지센터,null,24시간 이용가능,36.6783476,129.4397067,ME,환경부,환경부,1661-9408,2,20250515155341,20250514185817,20250514194118,,,100,동시,47,47930,A0,A002,Y,,N,,N,,N,2018,경상북도
동명면평생학습복지센터,ME183135,01,06,"경상북도 칠곡군 동명면 동명팔거천2길 9, 복지센터 앞",null,null,24시간 이용가능,35.9853781,128.5524349,ME,환경부,환경부,1661-9408,3,20250515155617,20250513151224,20250513155529,20250515154509,,50,단독,47,47850,I0,I006,Y,,N,,N,,N,2018,경상북도
동명면평생학습복지센터,ME183135,02,04,"경상북도 칠곡군 동명면 동명팔거천2길 9, 복지센터 앞",null,null,24시간 이용가능,35.9853781,128.5524349,ME,환경부,환경부,1661-9408,2,20250515155444,20250515105851,20250515110038,,,100,동시,47,47850,I0,I006,Y,,N,,N,,N,2018,경상북도
동명면평생학습복지센터,ME183135,52,04,"경상북도 칠곡군 동명면 동명팔거천2길 9, 복지센터 앞",null,null,24시간 이용가능,35.9853781,128.5524349,ME,환경부,환경부,1661-9408,2,20250515155447,20250515143909,20250515144809,,,100,동시,47,47850,I0,I006,Y,,N,,N,,N,2018,경상북도
포항철강관리공단,ME183136,01,06,"경상북도 포항시 남구 철강로 362, 후면 주차장",null,null,24시간 이용가능,35.9785354,129.378743,ME,환경부,환경부,1661-9408,2,20250515155411,20250515004701,20250515012747,,,50,단독,47,47110,A0,A003,Y,,N,,N,,N,2018,경상북도
포항철강관리공단,ME183136,02,04,"경상북도 포항시 남구 철강로 362, 후면 주차장",null,null,24시간 이용가능,35.9785354,129.378743,ME,환경부,환경부,1661-9408,2,20250515155359,20250514083330,20250514085708,,,100,동시,47,47110,A0,A003,Y,,N,,N,,N,2018,경상북도
포항철강관리공단,ME183136,52,04,"경상북도 포항시 남구 철강로 362, 후면 주차장",null,null,24시간 이용가능,35.9785354,129.378743,ME,환경부,환경부,1661-9408,2,20250515155401,20250515124426,20250515131827,,,100,동시,47,47110,A0,A003,Y,,N,,N,,N,2018,경상북도
기계면사무소,ME183137,01,06,경상북도 포항시 북구 기계면 근면길 14,null,null,24시간 이용가능,36.072152642,129.21052049,ME,환경부,환경부,1661-9408,2,20250515155601,20250514130208,20250514132602,,,50,단독,47,47110,A0,A002,Y,,N,,N,,N,2018,경상북도
기계면사무소,ME183137,02,04,경상북도 포항시 북구 기계면 근면길 14,null,null,24시간 이용가능,36.072152642,129.21052049,ME,환경부,환경부,1661-9408,2,20250515155500,20250514105822,20250514110117,,,100,동시,47,47110,A0,A002,Y,,N,,N,,N,2018,경상북도
기계면사무소,ME183137,52,04,경상북도 포항시 북구 기계면 근면길 14,null,null,24시간 이용가능,36.072152642,129.21052049,ME,환경부,환경부,1661-9408,2,20250515155502,20250511180753,20250511184826,,,100,동시,47,47110,A0,A002,Y,,N,,N,,N,2018,경상북도
김천시청,ME183138,01,06,"경상북도 김천시 신음동 1284, 입구 우측",null,null,24시간 이용가능,36.1398868,128.1146685,ME,환경부,환경부,1661-9408,2,20250515155401,20250515133324,20250515140110,,,50,단독,47,47150,A0,A001,Y,,N,,N,,N,2018,경상북도
김천시청,ME183138,02,04,"경상북도 김천시 신음동 1284, 입구 우측",null,null,24시간 이용가능,36.1398868,128.1146685,ME,환경부,환경부,1661-9408,2,20250515155427,20250515135540,20250515143236,,,100,동시,47,47150,A0,A001,Y,,N,,N,,N,2018,경상북도
김천시청,ME183138,52,04,"경상북도 김천시 신음동 1284, 입구 우측",null,null,24시간 이용가능,36.1398868,128.1146685,ME,환경부,환경부,1661-9408,3,20250515155431,20250514220540,20250514223144,20250515155245,,100,동시,47,47150,A0,A001,Y,,N,,N,,N,2018,경상북도
부곡근린공원 주차장,ME183139,01,06,경상북도 김천시 부곡동 1533-1,null,null,24시간 이용가능,36.125819643,128.09229499,ME,환경부,환경부,1661-9408,2,20250515155529,20250513211703,20250513215253,,,50,단독,47,47150,B0,B001,Y,,N,,N,,N,2018,경상북도
부곡근린공원 주차장,ME183139,02,04,경상북도 김천시 부곡동 1533-1,null,null,24시간 이용가능,36.125819643,128.09229499,ME,환경부,환경부,1661-9408,2,20250515155458,20250515143257,20250515151558,,,100,동시,47,47150,B0,B001,Y,,N,,N,,N,2018,경상북도
부곡근린공원 주차장,ME183139,52,04,경상북도 김천시 부곡동 1533-1,null,null,24시간 이용가능,36.125819643,128.09229499,ME,환경부,환경부,1661-9408,2,20250515155516,20250514235936,20250515004103,,,100,동시,47,47150,B0,B001,Y,,N,,N,,N,2018,경상북도
구룡포읍사무소,ME183140,01,06,경상북도 포항시 남구 구룡포읍 호미로 133,null,null,24시간 이용가능,35.985089008,129.54675329,ME,환경부,환경부,1661-9408,2,20250515155507,20250514135914,20250514143449,,,50,단독,47,47110,A0,A002,Y,,N,,N,,N,2018,경상북도
구룡포읍사무소,ME183140,02,04,경상북도 포항시 남구 구룡포읍 호미로 133,null,null,24시간 이용가능,35.985089008,129.54675329,ME,환경부,환경부,1661-9408,2,20250515155307,20250515073646,20250515075918,,,100,동시,47,47110,A0,A002,Y,,N,,N,,N,2018,경상북도
